WP          ,WN          ,LP          ,LN          ,Delay       ,Energy      ,NM          ,Norm Delay  ,Norm Energy ,1/NM        
2.978471e-06,1.309667e-06,8.158493e-08,8.000000e-08,1.562106e-08,2.392724e-15,1.215308e-01,2.609953e-02,5.920620e-01,7.405528e-01
2.978471e-06,1.309667e-06,7.908408e-08,8.252982e-08,1.542190e-08,2.391235e-15,1.222445e-01,2.541747e-02,5.916839e-01,7.362295e-01
2.978469e-06,1.309664e-06,7.908404e-08,8.000000e-08,1.542194e-08,2.387577e-15,1.217378e-01,2.541761e-02,5.907556e-01,7.392935e-01
3.072657e-06,1.309664e-06,7.908404e-08,8.000000e-08,1.497364e-08,2.406002e-15,1.222137e-01,2.388232e-02,5.954320e-01,7.364153e-01
2.978469e-06,1.351080e-06,7.908404e-08,8.000000e-08,1.544036e-08,2.400463e-15,1.215279e-01,2.548069e-02,5.940261e-01,7.405706e-01
2.978469e-06,1.309664e-06,8.158490e-08,8.000000e-08,1.562107e-08,2.392724e-15,1.215309e-01,2.609954e-02,5.920618e-01,7.405527e-01
2.978469e-06,1.309664e-06,7.908404e-08,8.252982e-08,1.542190e-08,2.391234e-15,1.222445e-01,2.541748e-02,5.916838e-01,7.362294e-01
2.978468e-06,1.309661e-06,7.908401e-08,8.000000e-08,1.542196e-08,2.394692e-15,1.217379e-01,2.541766e-02,5.925614e-01,7.392934e-01
2.978469e-06,1.309664e-06,7.908404e-08,8.000000e-08,1.542194e-08,2.387577e-15,1.217378e-01,2.541761e-02,5.907556e-01,7.392935e-01
3.072657e-06,1.309664e-06,7.908404e-08,8.000000e-08,1.497364e-08,2.406002e-15,1.222137e-01,2.388232e-02,5.954320e-01,7.364153e-01
2.978469e-06,1.351079e-06,7.908404e-08,8.000000e-08,1.544036e-08,2.400463e-15,1.215279e-01,2.548069e-02,5.940261e-01,7.405706e-01
2.978469e-06,1.309664e-06,8.158490e-08,8.000000e-08,1.562107e-08,2.392723e-15,1.215309e-01,2.609954e-02,5.920618e-01,7.405527e-01
